	LEV
شو باحب ها العيون كيف ما كانت تكون  	LEV
 شو صار فيه بعدها  هذه هي المسألة   الحمد لله مفيش اصابات وقتها	LEV
شو بتقولي للجيل الصاعد	LEV
بس شو الي خلاك تنزلو بالله 	LEV
شو هل حلوه ممكن خاص	LEV
  بالمناسبة احنا بنعرف منيح الناس المُنافقة الي بحياتنا بس مُشكلتنا بنعرفش نكون صريحين ونحكيلهم قديش قرفانين منهم وقديش انهم	LEV
  - مرحبا أنا مصطفى الآغا من  شو ما كان حلمك زرئو	LEV
يا صباح العروض والخصومات شو مين بعده ما شاف موقع عروض نار نار	LEV
فرح شو صحة الخبر يلي بقول انو شو تركي ىاح تعيد المسلسل و ادا جاب نسبة منيحة راح يعملو جزء ثاني	LEV
يا ارض انشقي و ابلعيني انا شو سويت	LEV
  من أجواء حلقة بانوراماكافيه مبارح بلش البرنامج وسيلفا بعدا عالكومبيوتر كالعادة  	LEV
 قبل جمعه ظهري علي هندي ومعرفته شو بدو ترجمتها طلع انو خلق عند دروز في بيت  هندوسي الأصل يا بينا مش تقولي لحدا وحيات العذرا	LEV
  شو مودك اليوم  احلىصباح  بانوراما  اذاعة سجلحضورك عنونيومك ايجابي  	LEV
النشيد الوطني الافريقي روعه  	LEV
ه منيح انو خلصتي اناا لساا للاحد  عمليلو احتساب 	LEV
ه امانه شها اهخ بطني ضحكوني والله  	LEV
اي منيح يعني حتى الحقائق بدا فلسفة لتكتمل الرؤيا	LEV
مشكلتكانو يا انسان تحولت لوحش وبطلت انسان مشكلتك يا انسان انك آمنت بالاديان يعني آمنت بالشيطان مشكلتك ما بدك توعى وتتحرر وتشغل عقلك	LEV
 الريادة في الاردن  انا ريادي ابن بلد و حاب أبقى هون  فكرتي غير و بتحل مشكلة و عندي طموح و بدي اتعب على حالي و 	LEV
انا جاهزه للي بدك بس احكي	LEV
  حتى بغير المحاضرة كيف الكو خلق تظلكو تتصوروا ياخي  	LEV
ي اللهي شو بعشقهم  	LEV
شو صحة الخبر يلي بتقول انو ادا المسلسل جاب ريت منيح راح يعملو جزء ثتني	LEV
 عاد انا بعرف انه جيعان بيحكوها الشمالات يختي انتي شو دخلك 	LEV
 لا منيح هيني مسيطر على الوضع للحين عشان ما اصير  مجددا	LEV
الواحد ممكن يتفهم حرية شخص في انه يتصور بس تتصوري جوا المحاضرة والدكتور بشرح وهيك شو جوك	LEV
واال شو قديمة 	LEV
ليش انت بدك تتزوج	LEV
  لو تعرف شو بحبك لو حاسس بقلبي كنت بقولك تعا نحب ندوم شي مره بها العمر نجن كنت بقولك تعا	LEV
لا تعطيهم افكار هسا بخلوا دراسة المدرسة انجليزي	LEV
رسميا انا شبيح لبيكي بلايندرز العظيم 	LEV
بلكي انا قصه م عادي تنقال او حتى شي زكرى م بتخطر ع بال  م عندي لا ماضي افكاري مفترقين عم دور ع حالي اسأل انا مين	LEV
لو انت مكانه شو بتسوي يامصطفى	LEV
شو مشاريعيك القادمة	LEV
امين ي رب   شو انبسطت انه ضايل متل هيك بشر ما انقرضوا 	LEV
ها شو نعمل 	LEV
الدكتور عمر رزاز بحبش يعطلنا   	LEV
طمني عليك اخبارك شو كيف هالدنيا معك	LEV
صح بسم الله شو سووا ف عمره 	LEV
لا النسبية الكاملة ولا القضأ ولا المحافظة شو بدكم 	LEV
سألو الفاشل شو سبب فشلك  حكالهم ما كان معي فلوس  سألو الناجح شو سبب نجاحك  حكالهم ما كان معي فلوس  عيسىعساف	LEV
بدها تحكيلكم ما عندي كرش بس 	LEV
بارس يالله منكم شو عمالة امام برشلون 	LEV
 أنا برتبة فنان ليش بدك تنزلني لرتبة سياسي جورجخباز  مناوجر	LEV
شو مو على أساس راح تحتلوا دمشق ه وينك يا اخي اصعدوا الباصات الخضر بدون وجع راس حوريات مو هلعن الله معاوية	LEV
 شو عبالك نيالك  ان شاء الله ما يكون آخر مرة كمان	LEV
بس مش نسمعك متجوز ومخلف  دير بالك ياسين 	LEV
  هيي حلوه وبتضل بتجنن بنضرنا شو ماعملت	LEV
امانه بالله وين الحضانه عنهم حتى شرطة الأطفال خسارة فيهم  	LEV
  حتى المجتمعات بلش تنهض فيها صحوة دينية مسيحية و فوز اليمين في اوروبا اكبر دليل	LEV
اتحفينا اتحفك الله بمليون دولار شو الفرق	LEV
ه بدك تحآولي فيهآ لحتى تزبط متل مآ زبطت معي 	LEV
كيف بدي احملهم شو اكتب	LEV
ذاكرتك سمكية يا شبيح ميسي ضربة الجزاء التي على إثرها اعتزل ميسي أم أنك نسيتها	LEV
  شو كانت حلوة هديك الأيام دارينالأيام مرقت وصارت أصعب  وإنتي بعدك حلوة  وعم تتحلي	LEV
فوايدالاختلاط  شو بدي أحكي لحكي  يا عيب الشووم عليك ؛ يا عيب الشووم 	LEV
لا الحظ عم بتواسخ معي منيح اليوم  صارلي اكثر من ساعتين بستنى بالفيديو يخلص تحميل من برنامج المونتاج و ب اخر 	LEV
 شو غير دراجات المد	LEV
  - شو باقيلك دراسة -  	LEV
انا بالنسبة الي شايف ممكن نطلع بشوية مصاري تنعش الاقتصاد ويصير في شغل  اما باقي القضايا حكي فاضي	LEV
  البعد بعد الدروب وليس البعد عن القلوب القلوب المحبه دائما قريبه لو مهما طالت المسافات ️ 	LEV
ومن قبل كنت اقرأ في هالفئه وان المختصين قلائل والحمدلله عندي حب العطاء وشخصيتي تأهلني شو رأيك اخت حوارء	LEV
وليش القلب إل بدك إياه جواته غيرك شخص ومابدو إياك  	LEV
قسم بالله يا سلطعون لو طلعته مسبهه يا ويلك ‍️	LEV
ما شاء الله طلعوا كلهم ملائكة ما بيخطواشاطرين بس بالتنظيرالبنت اعتذرت شو تعمل اكثر من هيكمن كان منكم بلا خطيئة فليرمها بحجر	LEV
جرّب مرة تنآم منيح وتشّبع نوم بعد مآ تصحى بتلآقي البني آدمين بآلمُجتمع غير  النُوم سُلطآن   + إنه شعور رآيق تتعآمل مع النآس وإنت صآحي	LEV
ما بعمري شفت عملاء يضربون اسيادهم بهاي الطريقة لك روح شوف شو اللي صاير بالايرانيين بارض العراق  الدواعس دعسو ع رقابهم	LEV
مافهمت شو قصدج 	LEV
اوكي شو يعني 	LEV
شو مين ماخذة  رجل من  رونتجينيوم مقنطر بال  رونتجينيوم	LEV
شو تحسيني من الافا 	LEV
عندجد يا الله شو حلو ومرتب السعوديااجملرجل 	LEV
  تحشيش فاخر  اظن مع سياسة التقشف  	LEV
شايفين هالخبرية -  المرأة راح تشتغل علي الخط  يعني تسوق سيارة وهيكا  شو رأيكم	LEV
  واحد محشش راح يزور صاحبه في المستشفى فشاف الممرضة سألها صاحبي ابو محمد في اي طابق  قالتلو شو معو قال هوندا سيفيك كح	LEV
ممكن أعرف شو عملتلهم أنا لحتى يخلوا  امتحانات بيوم واحد	LEV
طلع بعينيا  طلع بعد شويه  اتأمل بعينيا شو بتقول  بحبك او ما بحبك  طيب دقت قلبك اللي هي شو بتقول  	LEV
بدك انسان مرتاح من الهم 	LEV
لما بدك تمسك أيد اللي تحبها بس تستنى الحلال   جروبالدعمالاردني 	LEV
بس ما عم بفهم شو عم تحاول تقلي	LEV
بدك انسان مرتاح اكتير 	LEV
  حبي لنانسي عجرم بلش مع اغانيها الشعبية من  سنة و هلأ رح تكمل مع خمسة فرفشة و أنا خططت  حاسةبيك  	LEV
فالعالم لا يكترثون الا للي معه مصاري 	LEV
اقسم بالله لهـلأ مابعرف شو القصة بس بعرف انو انسانة مثلك اذا بتعمل مليون عمل خير بتنتسى  و يا ويلك اذا اخطأتي حتى من غير قصد	LEV
وانا بالف رجل ومش مسترجلة هون الفرق	LEV
هاهاهاهاها له يا خال انت عميدنا ومختارنا هون	LEV
حاسةبيك خمسة خمسة فرفشة وخروجه حلوه ع العشاء يخرابيي مش معقول شو حبيت هالمقطع 	LEV
 خفه شو هادی	LEV
 هلقيت خلصت شغل 	LEV
فوايدالاختلاط  اختلاط شو الشوكولا بالحليب مثلا 	LEV
بالنسبه لأختي معطتني و ضعيه الريالتي شو بس تصورني	LEV
انا هلقيت صحيت 	LEV
ه انت شب بس انا بنت ويمكن مشان اول مرة وكنت لحالي لهيك كنت خايفة ورجعت بس المرة الجاي خلص النية مش هرجع ه	LEV
 بس شو هو الطعس	LEV
  ماما رجعت من الدوام بدري ومسكت اختي مع ابن الجيران وبدل ما تبهدلهم شوفو شو عملت 	LEV
شو عاملة علا الفارس تا الكل نازل يشرشح فيها	LEV
يؤبشني الناس الفرفوشة الي عم تزحك ع طول  	LEV
ليش شو النجاح اللي حققوه للحين	LEV
شو دخلك انتي انا حر 	LEV
رحت ﻷتبرع بالدم قالولي مابصير قلت ليش  قالو هون قسم تبرع بالدم مو تبرع بالعسل احرجوني والله ه	LEV
صباح الخير  مساء الخير  شو اخبارك بالصبح والمساء وشو يديدك ام فارس	LEV
شو يعنى شغف	LEV
  و عفكرة شعب جمهور منتخبه الوطني بخبّط ببعضه بعد مباراة كرة القدم مش كتير عليه هيك خماسي لعين يعني يلعن الدني شو تفه علين	LEV
شو صار الدنه كلا نوم بنوم	LEV
  انتي قومية سورية شو خصك بلبنان  جملة بتبرهن قداي بعض شركاء الوطن عندن ضعف بالجغرافيا وبالتاريخ	LEV
شو مين ماخذة  رجل من  أمريكيوم مقنطر بال  أمريكيوم	LEV
الاشي الوحيد الي نفسي اشوفه بالمسلسلات  واحد بيشحن تلفونه او لابتوبه  شو هذا تقول الشحن فتوره كل شهر بشحنوه مره 	LEV
 بعرف  شو الجديد بالموضوع	LEV
خدلك عاد جاي يزل سمانا ف  جيجا ي راجل اتقول فشي غيرك بيحمل ارحمني ي زلمه شو شركتك و كم بتدفع 	LEV
  سجلوني شبيح لهذه الآلة الموسيقية 	LEV
ادللي شو بدك يا هبه	LEV
الجو حلو كتير خساره أضل بلبيت هالاد  بدها قعده عالبحيره مع البنات وشده  الجو حلو وانا قاعده شو مالي انجنيت	LEV
لما بتعطي ايميلك لواحد ويرجع يقولك كتبته مكان الرابط فوق وما فتح معي شو احكيله هاد ألطم يعني والمصيبة منهم خريجين تخصص حاسوب ومعلمين 	LEV
دخيل صدرك شو طيب  بتحبي جيب ضهري وكب حليبي على صدرك	LEV
اوه اشوا ماطلعت غلطان اشكرك	LEV
بعدين حضرتك قديم كتير التحديث من زمان نازل يخو بس فيه فرق بين سرعه  و  زي الفرق بين ايفون و اندرويد	LEV
  شو ماكان لونك خلّي قلبك مع الأزرق   عاشالفيصلي	LEV
بديش زفه  بدي اشي زاكي 	LEV
  والله العظيم اني بعرف شو معنى  و  بس ما بعرف شو بيصير معي عند الباب بنعجق 	LEV
متل ما بدك	LEV
سيدو قاعد بقلي اتخيلي انه في واحد بهالزمنات طلع على امريكا خلص بكالوريوس وماجستير ودكتوارة ب  سنين  وانتي بدك تخلصي الجامعة لحالها باربعة	LEV
الشعببيقول  آفة حارتنا التعريص المصريطهقانعلشان	LEV
بتعرفو شو يعني معسفه 	LEV
  غلاف البوم نانسيعجرم  حاسةبيك  شو رأيكم بتجرد وبعيدا عن حروب الفانز 	LEV
سألوا لبنانية  شو الفرق بين المسدس والعضو الذكري قالت  تنيناتهم بيطخو بس الأول بياخد الروح والثاني بيرد الروح حكيمه بنت الكلب	LEV
شو رآيكوا هسعيات نخلص من سالفة صدام وحسين نتذكر الزعيم معمر القذافي شوي  اجمل ما تكلم به القذافي تحت القمه بيه 	LEV
لازم جيبيلك وحده وتزتيها بغرفتك بلكي حظك تحسن  وصلح چير السيارة لحالو 	LEV
شوفي هون بتعرفي القصه  	LEV
الصبـاح صباح فلسطيـني وغيــر ذلك عبــث < شو كان فطوركم  	LEV
يعني الواحد لازم يكون بيكتب باليسار ليتعود ع تحديث لتويتر  كلو بالمقلوب صار يفدا عرضه لهل تحديث شو غليظ	LEV
شو مين ماخذة  رجل من  أوزميوم مقنطر بال  فلور	LEV
من اول الموسم بلش النعف  	LEV
  لمن ناقشني وعارضني فيما مايخص قناة التاريخ الاسود للعسكر وكذبوا هذه القناة رغم وجود ادلة من صباط مصريين شخصيا 	LEV
جيب نت زي الناس يا زلمة 	LEV
يالهي شو هادا	LEV
انداري عنهم والله لازم عطلة	LEV
شكرا شو السوال	LEV
فيسبوك شو قصتك على هالصبح ‍️ سنابرسمي	LEV
والله هو هيك اغلبك اللي معهم مصاري والله ما بنتغلب معهم ابدا	LEV
يع شو هادا  ولا بعرفهم قال حبايبي  مش هيك 	LEV
  لييش ماتتكلمي بالعاميه يابنتي وتريحينا من وجع القلب دا  	LEV
شايف البحر شو كبير  كبر البحر عندي مذاكر	LEV
الجهل و الغباء ما الهم حدود  شو الفرق بينك وبين الي كانوا يشترو العبيد ويختاروهم و هم معروضين الفرق انه انت 	LEV
طب انا جعان شو الحل	LEV
خربو كل شي حتى تويتر ستوري	LEV
شو هالرئيس النايم وتعبان ولكن بينهب مظبوط 	LEV
اي هادا مسكونا ياه مشان يغطو على غيرو	LEV
شو بدك بالدراسه خلص بتزنقي حالك قبل الامتحان احسن 	LEV
الله ياخدك وين ما بدك	LEV
شو هاي الدراما 	LEV
 معركة شو واي اوساط	LEV
  انته تتعب و تصور و تتريا المقطع الحلو و تحطه ستوري  و نحن نطوف ولا ندري شو السالفة	LEV
شو قصدك ماعرفت	LEV
اتفه الناس هاي  الي مريضة بمرض النقص 	LEV
 وش أغير  كفك يقول اليوم  فش اشي منيح << بلوك مخمس	LEV
ماكله خرا شو بدها تكون	LEV
دخلك النائب ما بيعتبر طبقة حاكمة  او شو دوره بالزبط  يعمل خدمات للمناصرين عم بحكي بشكل عام اكيد	LEV
انا مبارح نايمة عال شو مصحيني هالوقت	LEV
قصدي تمام سلام شو كان بدو ب هالقصة تبع العريض ما بيتو بحي اللجا	LEV
طيب هيا وضيفة مش مهم تنتب 	LEV
  كنت قول جماعة عون بيحقنوهن قبر من هني وببطن إماتن ليكونوا هيك هلّق عرفت شو يعني تكون عوني 	LEV
ه منيح طيب اذا هيك  كل الاحترام للشرطة النسائية والله انهم مناح 	LEV
ايش يقنعني اقوم من التخت هسا	LEV
  لا ترفع معنويات حدا آخر الليل مشان يقدر ينام ما مشان شي 	LEV
مش عارفة على شو بدهم ياخدوه مستواه مش ثابت  	LEV
اما شو زهرة  شباب عم نعيشها غير شكل   يسعد صباحكم   ان شاء الله تعدم حماتو يلي مابيرد 	LEV
صوتو شو بتفضلوا  إنسى جورة إنسى عاطل عن العمل  إنسى كهرباء  إنسى الفساد د ابراهيم الغزال لجان طرابلس الحرة	LEV
ع أي سكيما بدك الحل	LEV
شو صاار كلون صاارو مصلحجية زيادبرجي 	LEV
شو بفهمك أنت أكيد هيدا منطقهم ما عقليتهم بعدا عقلية رجعية فكل شي جديد بكون أقوى من قدرتهم على التفكير 	LEV
ارجوك ي غوارديولا افعلها وبصير شبيح لك طوول عمري ارجوك 	LEV
من سهرتنا مع صديقنا مراتي بترقص و تتلبون 	LEV
 شو انت بتتخوث قاعد 	LEV
حلو المسلسل وعن شو قصته 	LEV
للأسف هدا مشان يغطون عفشلون قدام شعوبون	LEV
غيرة من شو يا معفنة	LEV
ميدتيرم شو بس  انا لسا ما حفظت اسامي الدكاتره 	LEV
 شو هالترويقه الطيبه  يسلمو هالديات  بس وين الشاي 	LEV
ناصيفو موفق يارب اذ رح تابع  بي اذن الله هوى كرمال انت مشارك بالشارة حبيبي موفق	LEV
لازم تتعب وتكافح وتحاول مرة ومرتين وتلاتة كرمال بالآخر تفقد الأمل وترتاح 	LEV
بسم الله وعلى بركة الله نستلم الصداع من هون لآخر النهار 	LEV
ماحدا عم يعرف شو اللي عم يصيرنحنابشر 	LEV
ماشاء الله عليكِ يا عُلا شو إنك إنسانة رايقة بكل ما تحمل الكلمة من معنى يسعد قلبك	LEV
نفس شي نسيت يعني ما احد يصغر  ولا يكبر  بدي أقلك بدك تعملي نفسك عمه مافي داعي أنا قرفانه من هيك كلام بدك كا احترام في عيوني	LEV
لما تحس ان بدك تحكي كتير كتير كتير و ماعم يطلع معك ولا حرف 	LEV
يما بدي قشطة وعسل هسا ججوععاانه 	LEV
  وما سمعت الهوى شو قال للحلوة العيونها سود سهرة انا عبال  لمّ بتضيع ما بتعود️️ 	LEV
  انا جيت رتويت السهرانين مطلقه فوت ع الشات تبعى هون  ممحونه فاجره 	LEV
  شو رايكم بالسهره اليوم 	LEV
  أنتم عندكم اهل خير واحنا شو نعمل بنتي ماتت من تشمع الكبد وأنا معي سرطان في الكبد ولم نجد من يتك	LEV
قال  شو  قال  الاعلام سيف ذو حدين  أعلام يخاطب نفسه  ويضرب نفسه 	LEV
  هالدنيا شو صغيرة للي بتسلّم عليه مبارح بتسمع خبرو اليوم	LEV
لا هان شو بخطر في البال بحكي الواحد ما حدا داري زي الفيس ه	LEV
  يلي بدو يتهمنا بدنا نقلو إنت مين شو تاريخك  خمسةعبيدصغار 	LEV
  منيح يلي شبعتو قطف  قتل الطفلة جيهان فرنجية عادي  وقتل الطفلان طارق وجوليان شمعون  وغيرهم من الأطفال  	LEV
شو بدي اعملنجوى كل مره ترد عليكي او تعطيكي اعجاب وانا ولا مره ليش	LEV
شو هلكلام دكتورة هدى التحالف أعلن في اليوم الخامس من الحرب أنه قام بتدمير أكثر من  من الصواريخ البالستية  	LEV
مخرجات الأم بي سي بركات دراهمنا فش مصاري يا زلمه	LEV
  بتمون عالدقة لولا القلب شو بيبقى حبيبي ان غبت راح بشقى راح بشقىعينك على قلبي شوي شوي  و اتوقى قلبي حنون ما بيلقى ما بيلقى	LEV
محد سألك شو طموحك 	LEV
شو رايكم في الموضه حلوه صح ه	LEV
ياشيخ شو اقول وشو اخلي  	LEV
شو مين ماخذة  رجل من  نوبليوم مقنطر بال  بوتاسيوم	LEV
أنا كنت انسيتك شو الي جابك على بالي	LEV
منيح من الله كيفك بنت عمو 	LEV
شو تحليل اسم شما 	LEV
 شو بكي عم تصيحي يا ئلبي شو عملتلك انا 	LEV
مشكلة رسالة الرؤساء الخمسة للقمة العربية انو ما حدا من الحاضرين بالقمة بيعرف  شو يعني رؤساء جمهورية و حكومة سابقين مفهوم غريب و مستنكر	LEV
فيسبوك تريد تعطيل حسابي شو أعمل 	LEV
  مثل لبناني يقول إزا فات الحكي شو بفيد البكي الترجمه بالاردني  اللي قبّع قبّع واللي ربّع ربّع  تبعتنا اقوى تبرق وت	LEV
شو الواقع في الموضوع  واقع في طرح وضيع  والا  ضد  و انقلاب  الكلام اللي انقال عيب يقال من اعلامي له و عليه	LEV
  كل ما تسألني - كيفك  بتزكرني اني مش منيح اتركني بهمي خيي اتركني 	LEV
وال من تربيه لفوسفات يلا بلكي بعيد هيبتها مثل التوجيهي 	LEV
 الأرجنتين مع مسي شو هي انجازاتها	LEV
شو نفع الجمال بدون ثقافه كلامك ذهب حبيبتي	LEV
 لك شوبك  صدقتي انك خاله مخيسه 	LEV
  مادام في مصاري وعيشه رغده لتطول الازمه ويذهب الشعب السوري للجحيم  	LEV
كيف ولا يهمني  الكنافه ازكى من المنسف	LEV
  وقال شو فايت عالنكتبه احل هوم ووركات لولا الزهق كان كملتها بس الحمد لله زهقت وهسا بدي احل هوم ووركات 	LEV
كل يوم تثبت انك مش صحفي انت اكبر شبيح عرفه التاريخ لميسي  	LEV
شو تحب تشوف اختك تنتاك 	LEV
  شو بنتظر غير الوصاخه والوقاحه من واحد وصخ بيعمل  للنسوان المظلطه وراكض ورا النسوان الوصخه الفاجره العاهره ع	LEV
شو  نضحك  ولا ما نسلك	LEV
عطونا اسم القناة مشان نحذفها	LEV
طيب مش قصة و ما تقلّي و أصلاً مش هون العلة العلة ما تكون اشتقتلي و اشتقتلك 	LEV
شو مين ماخذة  رجل من  هافنيوم مقنطر بال  ثاليوم	LEV
ماهي بتهون عالدقه لولا القلب شو بيبقي حبيبي ان غبت راح ببقي راح ببقي  	LEV
والله انت إللي احلا زلمة 	LEV
مظاهر + قال فلان + ما شفت فلان شو اشترى + شوية حسد 	LEV
صباح الخير  صباح النشاط صباح الروقان  بلش نهارك بابتسامة رح يكون اليوم حلو ان شاء الله 	LEV
يا رب كمشة مصاري من الشوالات يلي وصلت للأردن 	LEV
احلى يوم بالاسبوع بلش 	LEV
  زالفل ي حبيب اخوك ماشي الحال  	LEV
ليش شو صار 	LEV
العمة شو زهقنا من الجامعة وأبو الجامعة بدّي اخلص بقة الدراسة دعواتكم بليز	LEV
شو هالقفلة الحقيرة هي كل شي إلا اونال  يعدمني اياكن ع هيك قفلة 	LEV
شآيف السمآ شو بعيدة بعد السمآ بحبك  	LEV
والله في وحدة بعرفها منيح و يا حرام شو شفقت عليها 	LEV
شو جرى شو غير الحبايب مرقو عا بابي وما حاكوني فيروز	LEV
  حتى اللعيبه المفروض يسوولهم سقف رواتب لانه اللي صاير فوضه فلوس و انجاز ماشي  على شو يحصلون هالملايين مادري والله	LEV
شو بالنسبه لليوم ملزقين ع التلفزيون  -- محاسن	LEV
 شو هيدا عم بتنطنطو متل البهايم	LEV
اذا شفتي هذا النوع بلكي و كبري عقلك	LEV
أديش كان في ناس  عل مفرق تُنطر ناس و بتشتي الدني  و بيحملو شمسيي و أنا بأيام الصحو ما حدى نطرني 	LEV
  خاطري بشي بس ما اعرف شو هوه	LEV
الواحد احتار شو بدو يسمع اول اغنية من البومك نجمتي من هلا كل الاغاني اروع من الجمال  	LEV
  جنرال أمريكي يقر بتورط التحالف الدولي المزعوم لمحاربة الإرهاب بقتل مدنيين في الموصل  لا ولو عنجد عم تحكوا  لك انتم قصفتو الح	LEV
خاص ضروي روح شفو شو ارسلت	LEV
شو هو المكان الثاني	LEV
شو مين ماخذة  رجل من  يود مقنطر بال  كادميوم	LEV
عيونه تعوره شو 	LEV
بتساءل ليه ما عزموا بعضن شو أنا ما عرٓفتن عبعض وإذا بيعرفو بعض وما بطيئو بعض ما بروح عند حدا	LEV
أستغفر الله بس  شو هالبشر معقولة يستمتعون بهالعبودية ولا بس حركة ولا كيف 	LEV
يلعن الاختبارات شو بتذل 	LEV
يع شو ها الافا الي حاطتنها خيتو 	LEV
   طب شو نعمل مش قادرين نجتمع بوقت واحد  اقلها نتواصل بالصباحات ه	LEV
اي متى بدك تفيق من سبات الذل	LEV
  مشكوره تحياتي وللبنات ومعر 	LEV
السؤال اليومي شو نتريق اليوم 	LEV
الحمدلله عالصحة  الواحد اله يومين مفلوز و ما بنام منيح مش قادر يستحمل الوضع و هاد فلوزة ابسط الامراض الله يشافي كل مريض بالدنيا و يخفف عنهم	LEV
وحدة راحت تزور ابنها بالسجن  قالتو يا ابني شو دخلك بداعش  ورطت  حالك وورطتنا  معك  قالها حور العين يا امي 	LEV
  موت حر اللى بدو فحوليه يفوت شات من هون  محرومه كبيره  مساج 	LEV
  شو يعني فلس الارملة  هيداحكي 	LEV
هون نص الليل 	LEV
مبارح بشرح للخياط شو يعمل بالقميص  حكالي انسي القميص وجاوبيني  هذا الكتاب بدك تقريه جميعه أناآه كان حيغمى عليه من الصدمة  موراكامي	LEV
وبصير بدك تستحي  ويا قمرة	LEV
شو الفائدة من تناول ماء دافئ بعد الوجبه بنصف ساعه	LEV
لك احسان شو صايرلك انتي كاتبة الك شعبيتك شايف قلمك رح يصير من قضبان سجون السلطان  يكفي مديحا وتأليها 	LEV
شو بعد بدك مصاري	LEV
شوف الجريده اليوم راعية الحوكمه عن شو تتكلم 	LEV
شو مين ماخذة  رجل من  روثينيوم مقنطر بال  لانثانوم	LEV
اناسعوديهاعتقونيمنالعبوديه ياي شو بحب العبودية	LEV
 حتمآ هون يا صديقي 	LEV
هيك مبررة شو صاير عم تقول مش صحيحة الخبرية 	LEV
  طفلة عراقية فرّت من بيتها بسبب المعارك فوجدها مصور رويترز وطلب منها ان يصورها فابتسمت وهي تبكي  شو مش عادلة هالحي 	LEV
قال  شو  قال  بعض العرب فاهمين الوضع بالمقلوب في سوريا ولك  مو  شو اسمو  ابو صياح هوه اللي مشطح ومسطح فيهم يافهمان 	LEV
  هون فيك تحكي مثل باب النجار مخلوع والسكافي حافي 	LEV
يا عيب الشوم اللي بيستحموا ماتوا خمسهعبيدصغار	LEV
  بعتذر من جميع متابعيني عتقصري  بمر بوعكه صحيه بس اتحسن منيح اكييد رح ارجع اتفااعل معكو ادعولي	LEV
ياقلبي وروحي ما بتتخيلي أديش نحنا مبسوطين فيكي غيرِك ماحدا عطول المدى	LEV
  كوكبالمعارضة شو قدمو حلول من الزبالة وحتى اليوم	LEV
  أعلن الفنان محمدعساف عن تحضيره لمفاجأة جديدة لجمهوره وقالتحضيرات ومفاجآت بتجنن إلكم بالطريق شو توقعاتكم يا غوال 	LEV
  الموت هون مجازياً لأنه في ناس بتنام و بطونها و بطون ولادها ما دخللها الاكل و ناس بتموت من الهم  الخ 	LEV
  حبايبي كم بوسه تستاهل اللى بدو مزيونه كام يفوت شات هون 	LEV
  لما تكون بتحب السوشي بس ما معك مصاري 	LEV
كثير ع بالي شو خطر نمشي سوا تحت المطر	LEV
انا شو الله بلاني و خلاني أخذ ماينر ايكونومي ‍️	LEV
 ملاحظة هون ما في اسرائيل و لا في دولة مش عاطيتهم حقوقهم ما يعني ان الشعب خرا اينما وجد سيبقى بو شحاطة لن يتغير حتى لو	LEV
في العمائم اللي عم تلحس كندرة العلويات ومعهم المريدين وفي شيوخ العشائر وعشائرهم يلي صافين بالدور مشان يبوسو شحاطةهافالة كردية	LEV
 اليوم لاول مرة بشوف نادين بهالصورة صراحة انصدمت  فكرتي عنها كانت غير كليا ما بعرفها مغرورة وبتالف ما بعرف شو صاير معها	LEV
  هاي خانك  تركك اسمعي المتل شو بقول  جيبي كلب وربيه ولا تجيبي ندل وتحبيه هاشتاغ  باجركادعسيه 	LEV
كون لبنان ممثل بوفد رسمي للقمة العربية شو موقفك من الرسالة اللي وجهها الرؤسا الخمسة	LEV
سؤال  شو في أبلكيشن بصور فيديوهات طويلة - رتويت حتى توصل ضروري	LEV
   لگ دخيل ربگ شو بيطلع معگ 	LEV
يقولك  وحدة طبخت لجوزها ملوخية وثاني يوم خبيزة وثالث يوم سبانخ  رابع يوم قالتله شو أطبخلك حبيبي قال لها بلا الي 	LEV
عم بوح بأسراري  و شو عملت النار  حرقتلي مشواري  و ضيعت أفكار عمغني يارا 	LEV
شو مين ماخذة  رجل من  فرانسيوم مقنطر بال  إربيوم	LEV
 ولك إنت شو باخغك مش معاجبك اعمل لي فولو وحل عن السما تبعي	LEV
 كيفك انت انشالله منيح 	LEV
بحبك او مابحبك طيب دقه قلبك قلي هي شو بتقول 	LEV
  سوشي منيح ما بدخن  نشكر الله	LEV
  طيب الي بيدخن اركيلة شو 	LEV
شو دنيا كتبتك فيها خطاء	LEV
  شو هاد الحيوان يلي بالفديو  	LEV
  بدي حدا عندو زهايمر احكيلو شو عم بيصير معي وفشلو ئلبي وبس خلص حكي يسألني انتي مين  	LEV
يامرايتي من كم سنه لليوم اديش تغيرت  يامرايتي يلي بتعرفي حكايتي زهقانه من كل الدني تعبانه مدري شو بني	LEV
شو وضع الناس اللي بيفيقو بيعملو التايملاين حسينية صلو عالنبي صباح الخير	LEV
البعض يتهم البعض بالعمالة بينما هم أول العملاء  شو عم تعمل انو انتو عم تحكي الغاز يا سيد وئام	LEV
 يعني جد جد كيف رح نركز بالدوام وفي ورانا مؤتمر  ما بدهم نعرف شو بحكو ونحنا معطلين ونايمين هازا ظلم  ئي	LEV
كلك على بعضك حلو 	LEV
مين بدك تطالب بالفراج عنه  بدك تطلب الافراج عن بريئ من شعب ذليل  شعب تشرب الذل و المهانه و رضعها منذ اكثر من اربعين عاما و يزيد	LEV
  بگرهو لهاد  بگره الكوتتويت  بگره الخاص بگره المنشنات الجماعية بگره الرسائل التلقائية وفهمگون كفاية يامزوئ 	LEV
الي يدفن المندي موب المنسف يا نكته انتي 	LEV
