	NONLEV
مبروك عليك ايهاب ان شاء الله العمل الجديد ديالك يلقى نجاح أكبر بالتوفيق ليك يا بطل	NONLEV
بانت ليها جلابة گالت هادي دگالة 	NONLEV
فاش تاتلعب  لأول مرة  بس هاد الفيديو قديم شوية دابا كملنا  و بدينا ف 	NONLEV
هما يحبو بعض اول مره راها مشي يجري بحداها شبحت ضحكتله تلخبط ياويله جاني قعمز طاح قتله نوض ارتاح قلبه يطق طق طق 	NONLEV
ه صايي منا و هاك ندير بيونة	NONLEV
تسريبهذا هو الكوبل لي غادي يخرج من للا لعروسة بعد نسرين و خليل 	NONLEV
ماماك غدوة تتجلط لبقيت بهذا تفكير خخ 	NONLEV
ه ليه بس دا انت مشاكلك ف سهوله ابره ف كوم أش 	NONLEV
و هاداك الشعب لي أغلبية ديالو عاطل و يحتافل بعيد العمال واش حكايته خ	NONLEV
كلنا طلع فينا ظغط من هاك الملح	NONLEV
آجمل كلمة ممكن تسمعها 	NONLEV
حله داداش  فردا شب دايركت  كنيم 	NONLEV
اشبح له الى يوم الدين	NONLEV
كيفاش نقدروا نحلوا هاد المشكل المتكرر كل عيد كل عطلة 	NONLEV
وتف شنوا هذا يا تشان  	NONLEV
كي ترقدي احلمي بيا وتشوفي كيفاش تجيبيها بلوندا 	NONLEV
عيني تاتشوف بنادم زوين من بعد ما يطعن القلب تاتقول لي خليني نزل دمعة	NONLEV
هاك عمري هاك روحي وهاك القلب هاك 	NONLEV
ياريتها كدا كانت اتحلت والله في  ساعه  	NONLEV
أيا هيا نكملو مع صوحابي - هاك معايا < 	NONLEV
بش اتجوز بدي اتوحم عليك  يوسفالخال مناوجر 	NONLEV
يعني الإتحاد السعودي أش يبغى بعد البيان هذا عشان يتحرك  إتهامات رسمية من نادي الشباب و طلب بكشف الحقائق ولكن  	NONLEV
يسعدك من ماتكون  اتشرف بناس ذوق كذا تتابعني  بس لو اعرف مين المرسل ️  بس عشان اقول هاك ️️️️ 	NONLEV
باهي اللي ما الروح في يد العبد را والله ميت من زمان 	NONLEV
ملي كنت صغير قلت نكبر نعيش احسن حال دابا اش نقول	NONLEV
خلك من العقال الثوب أش وضعه 	NONLEV
  في ناس تحساب الهاش تاغ  فوسفور اتضلل بيه في كلامها 	NONLEV
ه  ماعليه حتى ويقرا يقعد حيطيست قتلو الامل حتى عند لمازال ماجاوش للدنيا 	NONLEV
  في فتره من حياتك تكون وصلت فيها لمرحلة فيني اللي مكفيني وشعارك تجاه الأشخاص والعلاقات  كونوا كيف ماتكونوا بس رجاءً غاد	NONLEV
ياساتر هذه وهي صينيه أجل عندنا أش راح يسوون	NONLEV
اه ياربي كيفاش تحلبتلي بلي نموت عليها خ	NONLEV
  قمة الراحة النفسية الكروية هي اللي عند المراكشيين  الكوكب خاسرة مزيانة للكوكااب رابحة مزيانة للكوكااب  غادي تطيح مز	NONLEV
حتى بش تعرفو انو البلاد هاذي غارقة في الفساد  يوسف الشاهد دخل اليوم للسوق المركزية الأسعار انخفضت  هو خرج و 	NONLEV
كي يبدا يكذب  يكون غبي  يكون جايح و رخيس  وغدار  	NONLEV
انا مافهمتش حاجة فما ناس تكتب ستاتي او في الاخر يكتب << ﻣﻘﺼﻮﺩﻩ  >> علاش للناس الكل ﻭﻼ ﺧﺎﻳف  منه ه  انا 	NONLEV
حمزة بورزوق واخا سلوط كايعرف يهضر	NONLEV
دفنقي زايد حطو روحهم فيه الليبيين	NONLEV
علاش الحب حرام  تقدر في فترة الخطبة يحبوا بعضهم وين المشكلة  تخاف من الناس لي متزوجين ومايحبوش بعضهم  لا ق 	NONLEV
أوف جول إيمري كان شنوا هذا 	NONLEV
تراني ما عرفتك وأنت كاتب كل هاد الهاشتاقاتمبرووك مبروك الملايين ملعبكالعقبة لنجاح إلي غادي تتزاد فهاد الشهر 	NONLEV
الله اسمح لينا من الوالدين  واخا منعرف أش نديرو ليهم منردو حتى نقطة من الواد ديال الخير لي عطاونا  وَاخْفِضْ 	NONLEV
  ه والله حتا حنا شعب خطير ومبتكر ولكن للأسف نظامنا التعليمي كلخ بزاف من الشعب 	NONLEV
الأميين والجوهالا غادي ينتاحرو  وغادي تبقى شي  المليون من ساكنة المغرب وديك الساعة غادي ونخدمو ونتزوجو ونعيشو في سعادة  ايلاحيدودوزيم	NONLEV
هلا والله بالغالية الحبيبة ديالي 	NONLEV
خلاص مش لازم تفرحوني بكلل باهي	NONLEV
توحشتك حبيبة ديالي فينك وفين غيبتكي️	NONLEV
الكل متفق ان غوميز لاعب موهوب وعندة امكانيات لكن في البرشا لازم تكون أكتر من ممتاز بش تنجح في الفريق	NONLEV
عاارفليهاناقلبياختارك علاش يايما ماتفضحناش	NONLEV
علاش موزمبيقي وافتخر	NONLEV
ربك غدوة نزيدو نفركوهآ تل  ھ	NONLEV
خاصو اقاد حالتو ويتعلم العربية حيث هو أصل  فرنسي اغالب عليه الفرنسية ماغديش اتفاهمو معه العرب مكلخ الى أقصى حد	NONLEV
شكون بغا اتاي 	NONLEV
من صفحة ابن العم  سالم الاطيوش  تخيل  تخيلو  تخيل روحك تنوض الصبح  تلقاه التاريخ تطلع برا تلقى 	NONLEV
علاش تهربي مرة تقولي بقوص ومرة الهربة تسلك	NONLEV
نحس في اللي يشوفها يقول لروحه ايه رسمي علاش مدايرله فولو اهوا  	NONLEV
نت لي خاصك ديرو فيك الهضرة بزاف حنا سكوتيات 	NONLEV
افرض ومتخوفش لانو ادا فاقتلك بلي تخوف فقط وما دير والو راح تولي كي القط نتا تهدر وهيا تقلك قيو 	NONLEV
حتى انا توحشتك كثير بس والله ظروفي هي اللي اخرنتي عنكم وانتي دايم على البال 	NONLEV
كيڭولو حافظ صواريه و ماشي لي جات تديه  مقرياه مو مزيان و صعيب و حدة توصل ليه  سمعتي آا خملص	NONLEV
وه قداش ميدرهولي في كبدي هما وجماعة  في قروب الدفعه لكن باهي تقلصوا شوية 	NONLEV
 منو تحب   الوكال  لا قصدي بشر  اها  نحب الي يطيب فالوكال  غيرها باهي   اللي يعزمني على الوكال المستخدم غير متوفر	NONLEV
حط كمنطير نقول ليك نسبة  الاعجاب ديالي بيك 	NONLEV
في المواقف لا ينفع الرمادي  يا هاك ياهاك  لا تكن شيات	NONLEV
موديل بالكماليات × ماركة  موتور المشاية تايوانى • مشاية كهربائية مزودة بشاشة ديجيتال لقياس الوقت 	NONLEV
و في الأخير ياك قلتو شحاتة ما عندهاش كيفاش تشري و النتائج مازال ما خرجتش بصح راح تموتو قبل الوقت 	NONLEV
الله يبارك عليك يليقلك مزنبيقة صديقي  	NONLEV
رافئيل فاران الجمل بما حمل بدون رحمه في منطقه ليست منطقته المفروض يكون فيها راموس هذا علاش قلتلكم فاران بعد سنتين ا 	NONLEV
تتشطرون فقط على المغربيات كان انتم ملائكة منزلة المصائب اللي عندكم لا توجد ببلد تانية لكن ا 	NONLEV
دخليلك اذا بدهم يجو على شاكلة جيلبرت زوين ونايلة معوض بلاها هالقصة 	NONLEV
أجي دابا بنكيران ما عندو مايدار علاش ما يمشيش يترشح ففرنسا و هنيهم من الصداع	NONLEV
ايلاحيدودوزيم غادي الشعب يرتاح من البسالة و الحموضة	NONLEV
لا  قالت ليك هي كاتبغي غي مراد و لكن تفارقو  مالك مامتبعش مزيان 	NONLEV
اوف من اين لك هذا يا ايمري  يا اسطورة اشبح لك طول حياتي اجلود  	NONLEV
ها هي غاتقول خاصو يجي للريال دابا داك الموعاق دتشان وجهو وجه الريال 	NONLEV
ما غير ما تستناو الإفريقي تربح لتوال مافرحتش جمهورها بش تفرحنا أحنا 	NONLEV
في رمضان لولاد استرو رواحكم بش البنات تنجم تصيم 	NONLEV
  زعما هو شن مخصصلها من نغمة 	NONLEV
حتى لو متل جيلبرت زوين و اليس شبطيني لازم المرأة تتمثل بطريقة عادلة	NONLEV
ربي يفرج عليهم ويكون معاهم  ويكون في عون حرس الحدود ديالنا هوما تاني مساكن راهم كيفهم	NONLEV
الحمد لله  حبيبتي و انتي واش حوالك راكي مغيبتها خلاص  ان شاءالله قريبا	NONLEV
هاهاهاها ضمنتي الريال غادي تدوز من سيميوني	NONLEV
هاو هاو ضحكتوني هاو هاو هاو	NONLEV
هاو تو بي سترونج	NONLEV
  علاش الشلوح كيشطحو بزربة حينت تيخلو الحوانت محلولين 	NONLEV
هذا حب سامط وباسل ماشي اعمى او سنتين وهو يعرض بزاف	NONLEV
  وانا نموت عليك رودي والله نحبك بزاف الله يخليك ليا ومايحرمنيش منك يارب ووجودك في حياتي اكبر هدية من الرحمان️️️ 	NONLEV
طيب وقتاش الاغنية	NONLEV
  نتا لي بديتي مليون مشاهدة بدون فيديو كليب بمجهود فردي كلمة ولحنا وغناءا وانتاجا من أنجح الاغاني المغربية في الثلاث س	NONLEV
وقتاش غادي نتزوج و نسمع من الخدامة ناري عنداك تشوفنا لالة غي ضاحكين	NONLEV
 به مالا علاش تحاولي تقنعيني بمعجزات غير موجوده لمعمر 	NONLEV
هاد لفيلم خطير مزال نعقل عليه مزيان	NONLEV
حاب نعرف علاش في الحملة الانتخابية كامل المرشحين يولوا يتكلموا بالعربية	NONLEV
يحشمو ه بزاف على اللقطاء الحشمة والحيا	NONLEV
ها شنوا وافقت على الشروط المنصفه للطرفين أو لا قل بشكل واضح من غير لف ودوران	NONLEV
راهم كيضحكو على شعب مكلخ	NONLEV
ياعميد وربي مانبغى نيه طيبه ولا غيره نبغى رئيس يجلس مع اللاعبين ع طاوله وحده وي 	NONLEV
الزاير لهذا لم يحضر الأموي عيد العمال واكاين علاش نحتافلو أخبار المغرب على مدار الساعة	NONLEV
بطبيعة الحال و واخا تلعب معامن بغات الافضلية للريال	NONLEV
علاش يكرموك على الرقاد وين راها الاعمال ملينا كرهنا من الهف 	NONLEV
شنوا الفايده من الحرب اذا انت موقدها ولا مستعد لها اسرائيل يعني العالم واللي يبي يحارب العالم يحارب اسرائيل	NONLEV
لما راحت ياما صار فيا وتوا ماما حلفت معش في قطوس تخش حوش	NONLEV
كل وحده خمسه تحسابيه بوردو يابيب  ياريت نعدو ونديرو جو غادي ️	NONLEV
دابا غادي ندير الفيلم 	NONLEV
منيش دايره كراسة معمل هي  ريتهم بعيوني العام اللي فات دفنقي 	NONLEV
ابرك ايامها ليل انقضت حاجةٍ لي -الهويدي الله يرحمه ويغفرله هاك الليل	NONLEV
سليم خلبوس وزير التربية بالنيابة لا خوف على المناظرات الوطنية  والإدارة قوية برشة في تونس  والتحضيرات 	NONLEV
- عندي عزومة غدوة ومتنبله نمشي بكل ونخمم فها من آمس 	NONLEV
بالله إللي عنده كيف يساعد 	NONLEV
نبي  تتكلم بش نقل منها لان حيكون نفس الكلام  	NONLEV
اليوم حب محصل تيرو باهي 	NONLEV
لا لا نقصر برك ديجا غادي نختفي صاي ماتزيدوش شوفوني في التويتر	NONLEV
 انا ما ابدي الشرهه ولا ادور المشروه بوقتٍ تساوى غادي الفكر والصاحي	NONLEV
غدوة نهار الاثنين بتاع الثلاث 	NONLEV
كنا كنصبرو ريوسنا بمقولة  المهم هو المشاركة  دابا ولاو شي وحدين كايقولو  المهم أننا انهزمنا وتنازلنا من 	NONLEV
داكشي لي تندير تنحاول نشد ليها لعبار  ه بليتيني بالتصوار وليت غي غادي و نصور ه	NONLEV
واحد المريض كبير  قبايلا بقا كايخنزر فيا  عاد فهمت علاش  	NONLEV
واش بصح  شبيه ديالي 	NONLEV
تعجبني بنت بلادي كي تتزوج بعد  أيام تروح تشوف دارهم   تدخل زعما للكوزينة و تقولهم وين تحطوا الكيسان  كم أنت عظيمة  مايعجبك	NONLEV
باش نكونو صريحين كيفما ولفتونا العياقة والتصاور محدودين  بقات فالدماغ ماشي بشي حاجة أخرى بونسواغ	NONLEV
  وش نبي بالخلق لا صرنا معاك  هاك قلبي وأحفظه دامه يبيك  مايبي غيرك ولا له في سواك وإن بغيت الروح ماتغلى عليك	NONLEV
سيميوني غادي يبرد فينا غدايدو 	NONLEV
الله غالب جدد في التويتر من بعد تفهموا الهدره ديالي مازالكم	NONLEV
التكبالي يقول الكبير و نحن نعلم  اللي يصير و و و الكلام لف و دوران باهي بما انكم تعلمو وساكتين لتوا يا خونة ليبيا ليش ما تحركتو	NONLEV
اللي بصراحه  هاك	NONLEV
ايه وي شفت كيفاش يخليك تكتشف موهبة السخرية في نفسك	NONLEV
فشلونا بيها العطلة مش خاطري نمشي غدوة	NONLEV
ماعندك علاش تصدقي كلها طفنقي زايد	NONLEV
قله دابا فحصك ومالقي عندك الا 	NONLEV
- علاش نعمان مبقاش كينتاقد الحكومة - راه ولات عندو عمتو فالحكومة أصاحبي علاش مفراسكش	NONLEV
كيفاش تتشوف فهاداك لفات  سنة وباقي تيقول لامه ماما	NONLEV
  ما تخليش حد يكذب عليك ويقولك اتعب توا عشان اتريح بعدين نا جايكم من بعدين ومافيش حد متريح غادي	NONLEV
مزيان اگار أمود تاميمت أهو ه ايعفوو ربي گماا وبالصحة والراحه نزهتنا	NONLEV
كتقشري البرتقالمتلوحيش القشور يبسيهم و أجي نقولك كيفاش تستعمليهم لوجهك وغادي يرجع فحال البلارة 	NONLEV
الحمد لله مانحتاج حتى واحد كما هاك راني نتعلم كل يوم	NONLEV
راني نشوف الشعب كامل مراحش يسوطي يادرا الصندوق كيفاش راح يتعمر و يبقى السؤال مطروحا إلى يوم النتائج	NONLEV
المشكل ماشي هنا المشكل هو انا جالسة نحمل اي عمل ديالو شفته عندك يعني راني تابعاك فالطريق  انا امشي على خطاك 	NONLEV
ويو معناها الكوريين يحبونا حيعلما ماتبوش راعي شواهي اسمه دبعلا باهي اتجي نرعى السعي الكوري واهني 	NONLEV
في واحد في العمارة عندنا لما عرف إن انا علمي رياضة قالي متخفش فاروس فيها هندسة 	NONLEV
المصرى هاو مينى ريتويت وتمشونى بقى كفاية كده 	NONLEV
برحسب اتفاقاینو تو اینستا زیاد دیدم فتیش بلند کردن موتور داره	NONLEV
عاجل سألني واحد من حبايبي اللي بالصحة اللحين يقول وكيل المالية يقول للناس شنوا يسوي  اجاوبك اي شخص ما يدري شنوا يسوي يستريح في غيره يقدر	NONLEV
 مليون شهرية لنبيل معلول ه بالسيف يخلط للميليار في العام اعزاء  اي دينار دينار نوصلوه للميليار يلزم ناقفو لتونس مالا كيفاش 	NONLEV
من رابع الخايب سكن دوم واياه لبس الدناسه عقب لبس الجدادي  ومن طاوع الشيطان في دينه اغواه يصبح غريق بين الامواج غادي	NONLEV
كيفاش  علاش  وقتاش  منعرفش أما حبيتها  	NONLEV
علاش كي يقرب الفوط تحبي تسمعي الصوت نسمعك صوتي و الله ما نسوطي ما نسوطيش 	NONLEV
تعرفي غدوة تقولي نسيت حقك  راهو بصير كلتم ثاني 	NONLEV
علاش ه او عندي قلب علاش حسبتني مركب بلاستيك	NONLEV
بديت نفكر ف نوضة  الصبح من توا عطلة حرايمية شكلها فيسع تمت 	NONLEV
واشنو هوما الحروف لي ماكنتش تاكلهم 	NONLEV
هاو الضرب الحمد لله فما إسم باهي 	NONLEV
اذا حكم عليه رجم حتى الموت  < هاك الساعه بيروح الملل 	NONLEV
أصلا المسلسل عمو ما غادي يكمل ه	NONLEV
خاصنا نديرو شوية ديال العمل السياسي فهاد البلاد نشوفو كيفاش بعدما كانت عندي تجربة قصيرة فالمغرب	NONLEV
علاش ما بقاتش الساقية الحمرا كتعمر من الجمعة للجمعة  خ 	NONLEV
تونس ارميها سوري شي يعيف مانعيشش فيها جوست نمشي غادي نصيف  اول ستاتي بش نهبطها بعد مانحرق 	NONLEV
حالي باهي الحمدلله  سلم حالك	NONLEV
مانيش مشحاح  و الدليل نعشيكم شيبس 	NONLEV
قوقليها يا بش مهندسة  مش حلو نحطلك سكرين شوت الإحصائيات  و 	NONLEV
ويكي هاو احفظ  معادلة ف قعدة واحدة	NONLEV
علي مذاكرة هاو كم والله 	NONLEV
علاش قولت راجل ميرا اسم آدم يشبه لحبيبي	NONLEV
^^ مرسي منم خوبم داداش	NONLEV
واه غير سيري راني موراك راني ماقادراش نخرج من موود فويس  داكشي لاش راني مع الافلام الاكشن والحركة 	NONLEV
تلاقات بيه في السوق واش بيك 	NONLEV
لا ريبو داكشي ه تبا لك	NONLEV
اللي واجب عليه يبغيك هوما والديكو فالصغريعني لا تنتظر أن تحب 	NONLEV
هاك انت وياه 	NONLEV
فيمينيست   راكي معاه في واش راه يقول	NONLEV
حبيبي يا جوو والله بس اهو اي حاجه نحلها بكرا  	NONLEV
باهي شيني قررتي اديري	NONLEV
مندوزا غادي احيح	NONLEV
ايه معليش الخبرة مي الشهادة احسن و الخبرة ايضا جميلة  ممكن نتا بالنسبة ليك المهنة احسن	NONLEV
السفر الى بلاد ديالي  ممايفتحالنفس	NONLEV
علاش كاين لي مازال ماشافهومش  النهار والله صاح قناة الحمار	NONLEV
لحوم العلماء مسمومه  باهي ولحوم التوار 	NONLEV
دووم يارب حالك باهي 	NONLEV
 مليون شهرية لنبيل معلول ه بالسيف يخلط للميليار في العام اعزاء  اي دينار دينار نوصلوه للميليار يلزم ناقفو لتونس مال	NONLEV
دير دكتور هاو مينى ريتس و تنجحني 	NONLEV
عمري جيت عندكم بريفي ياكو  واخ غاتسناو غادي يوصلكم ميساج 	NONLEV
وفخور بأنجازك  من قبل قتلت قطوس مزلت نحلم بيها لعند توا 	NONLEV
والله حتى انا توحشتك	NONLEV
يا ختيتو  تويت ديالك راهي  فل قناة الجزيرة  دور 	NONLEV
باهي الزفت مش شرط يكون باسورد تليفوني جماعي	NONLEV
كدي هاك فتشي تحت السرير 	NONLEV
  كيفاش نهاية القذافي زعمة	NONLEV
الواليد عندو ديك العقدة د الكرافاطا مقدسةواحد النهار حليتها كان غادي يجري عليا من الدار	NONLEV
كذاب عندك انستا ديالي	NONLEV
يك دنيا صبر واخرتها قبر عيب علاش ربكم علاش	NONLEV
هداك غادي اموت ويدفن فالبوند توش 	NONLEV
تفكرو هاد النهار مزيان و صليو  ركعات حمدا لله عندها افلاس مالي من بعد الافلاس الاخلاقي	NONLEV
لآ اول مره تقعد موسوس بعدين الموضوع يقعد عآدي  حت نا ضآرب قطوس بسياره	NONLEV
يا بنتي درك هوما يستناو الورد منك مشي ااعكس 	NONLEV
مفسي اقولها بش مينفعش 	NONLEV
سيالة وزيرنا و وزير خارجية النمسا دفولنا طاجين ثورة شباب و بلطوا فيها هما  	NONLEV
نو اللي يشوفك جميل تكون جميل بطبعك واخلاقك والجمال 	NONLEV
تصميم خفيف ان شاءالله ينال عجابكمم تصميم اهداء للكل >--    احبك خفا مابي اصرح ولا باهي 	NONLEV
ماتيجيش معايا داكشي أصلاً	NONLEV
هاك ورا ما فيها حزارا 	NONLEV
اشتري بس وغمضي عيونش وبسملي ولا يقع بش شي 	NONLEV
كنموت عليج بالزاف يا مزيان واعر 	NONLEV
علاش راح تسوطي	NONLEV
لعمى في زوج السحالي هوما لي قالوا أنا تاني ماشفتش 	NONLEV
ه مزيا اه ارواحي مدا بيا  واش حول دلال	NONLEV
علاش ماتتفرجيش الافلام و المسلسلات فرمضان 	NONLEV
ه عارفها باهي عادي نستنو الاخره 	NONLEV
أمينة نفسها ما حاراش واخا تجبد ليها الودنين غادي تبقى باردة مالوروزمون 	NONLEV
ايه الشاهي زوين بعد الاكل	NONLEV
كيف جاك الذوق ديالي	NONLEV
قسم بالله التايم منور باهي 	NONLEV
اسمع يا وليدي انت حاب التغيير  و علاش ما خلطتهاش خفت الفتنة  و علاش ما تصوطيش 	NONLEV
فهمتي علاش الأغنية 	NONLEV
غدوة نقرا صباح  	NONLEV
الحياة هنا فالداخيل كدوز دغيا  كيبان ليا غادي نرجع فآخر المطاف	NONLEV
من نزل موقيتس وانا احاول اجيبه صحيح عندي ايتشيقو ذا بش ابي موقيتس	NONLEV
و سوتله بش وكذا شخصيه بين قوسين عامله نفسها	NONLEV
يا ختي ولاو بيوضة كامل  معندكش لكحل 	NONLEV
الا ماعندك ش جردة فيها دالكتارات دايرا بيك معندك مدير ب شراجم  عندنا شعب الهوايا ديالو ا 	NONLEV
ديها فصحتك وليديك وخلي لمحسادة يكتبو عليك لي ستاتو خ مساكن من عند الله ممسوخين وعااد غادي ديها فيهوم لي فيهوم 	NONLEV
هلا بش وين مغيبه اليوم	NONLEV
لا هكذاك راكي في ريسك كبابل تخرجيها من عقلها ه	NONLEV
تيجى هاك البنت من بيتها العتيق و يقلها انطرينى و تنطر ع الطريق  و يروح و ينساها و تتبل بالشتا  الحيوان قليل التربية 	NONLEV
هاك كل اشيائك الي جبتها لي وهاك انت  	NONLEV
مفيش اكونت نقوله هاو منى ريتويت وناخد ايفون اهي حاجه عليها القيمه	NONLEV
يرخّص لك الغالي و يهدالك الزين تأمر عيوني  هاك هذي قبل ذي هاك️	NONLEV
ه نكرتيني نسيبتك انا دابا نقولها ليهامبغيتيش تحل عليا الباب ه	NONLEV
باهي تمام  رد بالك تحكيلي ع الطاقم  ينفجع مسكين	NONLEV
بس مش غريبه يتعمل هاك للاكونتين ف نفس اليوم يا طه 	NONLEV
حيت هوما أعداء الوحدة الترابية وعندهم الصداع  كيردو ليهم الصرف	NONLEV
هذا علاش لما ولو زوز صورتهم جنب بعضهم 	NONLEV
لا مزال حالكم باهي  اورل ميدسن هذي بحر	NONLEV
احنا شركتنا تتمنيك برحتها والي عندة معزة يلمها 	NONLEV
علاش ف معرض الكتاب مانهدوش لحد غريب كتاب  ويهديلنا حد غريب كتاب	NONLEV
واش اداني نحط الصورة ولوكان حطيت لخرى كيفاش 	NONLEV
حسدات صاطا لي ف 	NONLEV
لي وقع وقع دابا	NONLEV
الصداقة بين الراجل والمرا واخا ما تكونش خاصنا نصنعوها  ضرورة حيوية	NONLEV
علاش  لكرا  تاع  الديار في سيدي عامرغالي  واحد  كاري بألف  لاغاز لا ماء اشفقو  على الزواولة موش هاك	NONLEV
عندكم الزين اعموو مالك معرضت عليا انا بش تخبيت عليا غا قوول 	NONLEV
هاك باسكن يلا بطل حلجك قول اء 	NONLEV
حتى حنا رانا شادين قدرنا ورانا محترمين انفسنا مالقري هوما فزدو القدر	NONLEV
ه امع الخدمة والمشاكل ه داب دابا تعاود ليك صلوحتي نتا كدير مع خدمة ودنيا اجي حتافلتي بعيد فاتح ماي ه	NONLEV
بغيت نعرف واش غير حيت ختر تمثيل المنتخب المغربي  ما عملوشي الاسم ديالو في المرشحين لأفضل لاعب في الدوري الهولندي 	NONLEV
باهي فيه من يسايرني 	NONLEV
نبي نعرف علاش كلوب مايلعبش ف ستوريدج اساسي  عنده معاه مشكلة ولا شني قصته	NONLEV
شكون باش يرباح غدوة  	NONLEV
غادي تكمل الباهية فالبطولة الا طلعو هما و ماندوزا ه	NONLEV
بلله يا مستشار انشرها اني شاب عمري  مشكلتي اني مش عارف علاش عايش معندي شي اندير فيه يعني عايش من قلة الموت و 	NONLEV
رآه الناس بزاف اللي تيكتبو هكذا 	NONLEV
خرج على الناس النجوم ديالو مشهورين فالمغرب اكثر من تركيا	NONLEV
نتا الي راك تهدر على الانانيش	NONLEV
وادزم  گاع أول ماتش فالتيران تفرجت فيه  كان ماتش الصعود لتطوان ضد سطاد الرباط دابا  بزاف دالتخلويض  بطو 	NONLEV
انت تكلمت على اللي نخصاتك و باهي تبي تتكلم معايا على الشيخ صادق تبي تحترم نفسك عشان انكمل معاك 	NONLEV
باهي ليش ليش ليش ليش الخ 	NONLEV
ان شاء الله تلقا داكشي لي بغيتي	NONLEV
باهي وفيه يلي العزا في حوشهم	NONLEV
حبيبتي حتی انا توحشتك امولة الغزالة الشابة  نموت عليك	NONLEV
اكثر شخص اشتقت له يا صاحبة القلب الابيض توحشتك كتير حبيبتي 	NONLEV
 قرم وينهو غادي مع الهرشه 	NONLEV
صح ان اشهد  ونعم بش يا بنت واخت ارجال	NONLEV
قدو ماعد بش معانا الا الحاصل	NONLEV
 علاش تضحكي اللطف	NONLEV
  كمالا ديال اللبسة  هوما الفوق 	NONLEV
صافي دابا نقلب عليه	NONLEV
حبيبي أش معاك من صنف خفف الجرعة يرضالي عليك  	NONLEV
الميـر ديالي مسكون  كانحط شي حاجة كانرجع ما كانلقاهــاش 	NONLEV
والله حتى انا عجبني بزاف	NONLEV
 يعجبني بزاف عزف برافو الاخ ايهاب المدخل ديال  سليباطير	NONLEV
قطوستي جرت  قطوس واحد بس ومات اليوم 	NONLEV
ه راه غالباً كانوا كيبداو مزيان كل عام وكان بغا يطلع وكان طلع شحال هادي ه ولكن دابا عاد بانتلو	NONLEV
واخا مرةمرة كايطلع لمورال وكانقول كولشي هو هداك بنادم ماخاصو تا خير وفاش تايهبط لمورال مكانبقاش حامل كري وكاع العقد للي فيا كايبانو قد الجبل	NONLEV
حبيبتي مام انا توحشتك ياسمينتي و باف تاني  	NONLEV
ه ايلا غادي ل عروبية هيا إلى البادية يا اخ العرب	NONLEV
انا الي توحشتك لحبيبة دومك بخير يارب	NONLEV
أش جوكم انتوا	NONLEV
لباس الحمد لله اخ عادل وتا خطبتي صلوحة وانا اخر من يعلم واخا فيكم	NONLEV
يا خيه والله جزء صغنون بكل من نزاكتك وذوقك باهي ياريت في منك خمسلاف	NONLEV
سمعت تا من اصلاح البيرجيكو هو لي مقابلو دايرو ديالو ه هاد العام عوال اطلع	NONLEV
ياريتني نسكن غادي	NONLEV
كانت بابنة تكمل كيما هاك ه 	NONLEV
اه الساعة  شلون هاو علموني أذكرها عشرة بسم الله	NONLEV
ه باهي ازف ذليتونا	NONLEV
تشتاقلك الجنة يارب ان شاء الله راكي لباس 	NONLEV
كل عام وانتي بخير يا الحب ️️️️️️الحب ديالي ￼	NONLEV
مش عارف علاش  لا إرادياً كل مانشبح الساعة ونلقاها  نقرا فيها علي اساس احداث سبتمبر 	NONLEV
  مايعجبك لما أحس اني قضيت بزاف حاجات في اليوم و ما راح كل وقتي في الفراغ	NONLEV
يحييك يا روحي توحشتك بالزاف 	NONLEV
في واحد في صفحتي قالي اني مرضت من الأخبار  كيف انتي تبعي فيها كل يوم باهي خوذ هادي تغيير جو وحدة سمينه مشت لعرس 	NONLEV
 باهي علاش ما داروش قوه تردهم لأرضهم ولا ما يستاهلوش	NONLEV
وين رايحة ياطفلة فهمتك كيفاش 	NONLEV
الف مبروك لنجم ستار اكاديمي  ايهابامير  مليون مشاهدة لاغنية نتا لي بديتي  	NONLEV
انا كـ شاب معاشش فترة شبابه العادية بسبب ظروف البلاد الناتجة عن ثورة العهر كيف للناس عندهم وجه تقولي علاش تترحم علي معـمر 	NONLEV
تقبلني هذه المرة يارب  تقبلني  لا تبتعد عنى  هاك قلبي  و لتظل معى لا أريد تكرار تلك الأيام التي تخلو 	NONLEV
هاك  لا تصيحين علينا	NONLEV
علاش عقلكم كيمشي بعيد علاش 	NONLEV
  وعشان الأكل بره البيت مضر وغير صحي انا بتعامل مع المشكلة دي بسهولة جدآ  و بقدملكوا اللايف هاك العظيم ده اطلب ديلفري	NONLEV
ايوا حبيبي تعرف الشحن بعيد ومش قادرة نجيبه افتحي المايك باهي فتحت يلا ياشحن تعالا اشحن جهاز حبيبتي بسرعة شكرا حبيبي خلاص جى 	NONLEV
شني يخلي مؤسسة من ناس متعلمة او المفروض متعلمة تنحاز ديما للطرف المحافظ  علاش مافيش عملية نقد ذاتيه داخل المؤسسة	NONLEV
ه مهم توصلي للتر باهي كويس خير من بلاش	NONLEV
  تراني ما عرفتك وأنت كاتب كل هاد الهاشتاقاتمبرووك مبروك الملايين ملعبكالعقبة لنجاح إلي غادي تتزاد فهاد الش	NONLEV
  الغزالة ديالي الهندوية ديالنا سلومة نورتيلنا الشاشة يا الححب تبارك اللّٰه عليك  يهببل العرض سلمىرشيد 	NONLEV
